rank,artist,fandexFinalPoint,previousMasterPoint,deltaFromPreviousMaster,naverPoint,youtubePoint,musicV2RawPoint,musicV2Contribution,lastfmRawPoint,lastfmContribution
1,에스파,361.27,356.94,4.33,214.28,79.04,180.75,45.19,91.0327,22.76
2,에이티즈,339.4,339.34,0.06,226.34,52.43,187.5,46.88,55.0072,13.75
3,아이유,334.73,341.01,-6.28,244.89,49.63,139.75,34.94,21.065,5.27
4,르세라핌,260.56,260.66,-0.1,182.26,52.76,6.8,1.7,95.3627,23.84
5,뉴진스,252.25,252.12,0.13,201.66,21.54,39.8,9.95,76.3855,19.1
6,아이브,238.56,239.09,-0.53,166.58,37.2,100.0,25.0,39.1218,9.78
7,보이넥스트도어,234.07,234.13,-0.06,187.53,35.42,30.8,7.7,13.6625,3.42
8,투모로우바이투게더,229.19,229.02,0.17,163.02,49.71,0.0,0.0,65.858,16.46
9,세븐틴,221.75,221.82,-0.07,173.12,42.85,0.0,0.0,23.1052,5.78
10,스트레이키즈,156.57,156.43,0.14,90.6,47.99,0.0,0.0,71.9254,17.98
